 Bed Topography Report:
 
     ( 10,220)                                                                                                                                                      (255,220)
         0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20
 20 | +0.361  +0.381  +0.394  +0.407  +0.426  +0.454  +0.487  +0.519  +0.549  +0.577  +0.602  +0.624  +0.644  +0.656  +0.659  +0.655  +0.647  +0.637  +0.624  +0.611  +0.584
    |
 19 | +0.353  +0.370  +0.387  +0.403  +0.422  +0.447  +0.474  +0.500  +0.524  +0.548  +0.570  +0.593  +0.615  +0.630  +0.635  +0.633  +0.625  +0.610  +0.590  +0.570  +0.550
    |
 18 | +0.339  +0.359  +0.379  +0.399  +0.419  +0.440  +0.461  +0.481  +0.500  +0.519  +0.538  +0.562  +0.586  +0.604  +0.611  +0.611  +0.602  +0.583  +0.556  +0.529  +0.502
    |
 17 | +0.324  +0.348  +0.372  +0.395  +0.416  +0.433  +0.447  +0.462  +0.476  +0.490  +0.506  +0.530  +0.558  +0.577  +0.587  +0.589  +0.580  +0.556  +0.522  +0.488  +0.454
    |
 16 | +0.309  +0.335  +0.361  +0.386  +0.407  +0.422  +0.432  +0.442  +0.453  +0.463  +0.477  +0.501  +0.529  +0.550  +0.562  +0.566  +0.557  +0.530  +0.490  +0.450  +0.410
    |
 15 | +0.294  +0.320  +0.345  +0.370  +0.391  +0.405  +0.415  +0.424  +0.433  +0.442  +0.454  +0.476  +0.502  +0.522  +0.536  +0.543  +0.535  +0.504  +0.458  +0.412  +0.366
    |
 14 | +0.279  +0.302  +0.325  +0.348  +0.368  +0.383  +0.395  +0.406  +0.415  +0.423  +0.434  +0.453  +0.475  +0.494  +0.509  +0.520  +0.513  +0.479  +0.428  +0.377  +0.326
    |
 13 | +0.262  +0.282  +0.303  +0.324  +0.342  +0.359  +0.373  +0.385  +0.394  +0.402  +0.412  +0.429  +0.449  +0.465  +0.481  +0.494  +0.490  +0.457  +0.407  +0.357  +0.307
    |
 12 | +0.242  +0.259  +0.277  +0.295  +0.312  +0.328  +0.343  +0.357  +0.368  +0.377  +0.388  +0.403  +0.420  +0.435  +0.451  +0.465  +0.465  +0.442  +0.405  +0.368  +0.331
    |
 11 | +0.220  +0.234  +0.248  +0.263  +0.278  +0.294  +0.311  +0.326  +0.339  +0.350  +0.362  +0.376  +0.391  +0.404  +0.419  +0.433  +0.438  +0.429  +0.412  +0.394  +0.376
    |
 10 | +0.197  +0.210  +0.223  +0.236  +0.250  +0.266  +0.284  +0.300  +0.313  +0.325  +0.337  +0.352  +0.366  +0.380  +0.394  +0.407  +0.415  +0.415  +0.410  +0.405  +0.400
    |
  9 | +0.175  +0.190  +0.205  +0.221  +0.236  +0.252  +0.269  +0.283  +0.294  +0.303  +0.315  +0.332  +0.351  +0.367  +0.381  +0.393  +0.399  +0.398  +0.392  +0.387  +0.381
    |
  8 | +0.152  +0.171  +0.191  +0.211  +0.229  +0.245  +0.259  +0.271  +0.278  +0.283  +0.293  +0.314  +0.340  +0.361  +0.374  +0.383  +0.386  +0.379  +0.366  +0.353  +0.340
    |
  7 | +0.128  +0.150  +0.172  +0.193  +0.212  +0.229  +0.243  +0.255  +0.261  +0.263  +0.272  +0.295  +0.325  +0.347  +0.360  +0.366  +0.365  +0.354  +0.336  +0.317  +0.299
    |
  6 | +0.107  +0.125  +0.143  +0.162  +0.180  +0.200  +0.219  +0.235  +0.243  +0.248  +0.258  +0.279  +0.305  +0.324  +0.333  +0.336  +0.332  +0.320  +0.302  +0.284  +0.266
    |
  5 | +0.084  +0.097  +0.110  +0.123  +0.140  +0.163  +0.189  +0.211  +0.225  +0.233  +0.244  +0.262  +0.281  +0.294  +0.299  +0.297  +0.291  +0.280  +0.264  +0.249  +0.233
    |
  4 | +0.056  +0.065  +0.074  +0.083  +0.097  +0.123  +0.154  +0.180  +0.195  +0.205  +0.215  +0.230  +0.245  +0.255  +0.256  +0.252  +0.245  +0.235  +0.223  +0.210  +0.197
    |
  3 | +0.018  +0.026  +0.034  +0.042  +0.056  +0.081  +0.112  +0.137  +0.148  +0.153  +0.160  +0.174  +0.192  +0.203  +0.204  +0.198  +0.191  +0.184  +0.176  +0.167  +0.158
    |
  2 | -0.025  -0.017  -0.009  -0.000  +0.013  +0.037  +0.065  +0.086  +0.090  +0.087  +0.089  +0.105  +0.127  +0.141  +0.143  +0.138  +0.132  +0.128  +0.125  +0.121  +0.117
    |
  1 | -0.069 [-0.060] -0.051  -0.043  -0.030  -0.008  +0.018  +0.035  +0.032  +0.020  +0.017  +0.035  +0.061  +0.080  +0.082  +0.077  +0.072  +0.073  +0.074  +0.075  +0.076
    |
  0 | -0.111  -0.103  -0.094  -0.085  -0.073  -0.052  -0.029  -0.016  -0.026  -0.046  -0.054  -0.035  -0.004  +0.019  +0.022  +0.016  +0.013  +0.017  +0.023  +0.029  +0.025
         0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20
     ( 10,  -10)                                                                                                                                                      (255,  -10)
 
 ok
